Bundle UPC,Bundle Title,Bundle Artists,Bundle Release Date,Label
075679956231,Paramore,Paramore,2013-04-05,Fueled By Ramen
ISRC,Track Title,Track Artists,Track Number
USAT21300002,Fast in My Car,Paramore,1
USAT21207255,Now,Paramore,2
USAT21300006,Grow Up,Paramore,3
USAT21300007,Daydreaming,Paramore,4
USAT21300008,Interlude: Moving On,Paramore,5
USAT21300009,Ain't It Fun,Paramore,6
USAT21300010,Part II,Paramore,7
USAT21300011,Last Hope,Paramore,8
USAT21300012,Still into You,Paramore,9
USAT21300013,Anklebiters,Paramore,10
USAT21300014,Interlude: Holiday,Paramore,11
USAT21300015,Proof,Paramore,12
USAT21300016,Hate to See Your Heart Break,Paramore,13
USAT21300017,(One of Those) Crazy Girls,Paramore,14
USAT21300018,Interlude: I'm Not Angry Anymore,Paramore,15
USAT21300019,Be Alone,Paramore,16
USAT21300020,Future,Paramore,17
